,outcome,sumfg,sumfg3,sumft,sumorb,sumast,sumpts,sumdrb,sumstl,sumblk,Offensive Effort,Defensive Effort
2981,1,80,26,37,17,40,223,70,13,14,1,1
2982,1,87,18,44,19,53,236,95,14,22,1,1
2983,0,43,12,14,15,23,112,40,6,4,0,0
2984,0,65,26,39,28,48,195,34,11,7,1,1
2985,1,42,20,24,7,28,128,30,11,2,0,0
2986,0,44,8,17,9,23,113,30,5,5,0,0
2987,1,90,21,28,27,53,229,49,14,11,1,1
2988,0,38,13,11,6,29,100,43,4,6,0,0
2989,1,39,11,16,10,24,105,36,12,6,1,0
2990,0,79,22,27,15,54,207,44,16,11,1,1
2991,1,47,13,15,7,28,122,30,10,6,0,0
2992,1,42,19,62,12,39,165,59,9,11,1,1
2993,0,61,17,19,17,36,158,52,9,5,0,0
2994,0,38,13,12,12,24,101,25,5,4,0,0
2995,1,47,12,24,15,31,130,40,7,6,1,1
2996,0,37,11,12,10,22,97,43,7,3,0,0
2997,1,55,28,23,16,26,161,77,9,11,1,1
2998,1,68,16,39,20,41,191,71,6,8,1,0
2999,0,43,14,11,8,24,111,31,6,8,0,0
3000,1,42,17,13,10,26,114,40,8,4,1,1
3001,0,32,8,19,8,20,91,37,2,5,0,0
3002,0,57,17,30,17,29,161,37,4,3,0,0
3003,1,68,34,43,16,48,213,52,8,11,1,1
3004,1,59,18,60,15,39,196,63,4,7,1,1
3005,0,36,15,7,10,26,94,33,4,5,0,0
3006,1,48,25,8,7,36,129,28,4,6,1,1
3007,0,41,13,21,9,27,116,26,11,1,0,0
3008,0,78,28,44,16,54,228,61,12,7,1,1
3009,1,86,28,36,8,50,236,66,6,6,0,0
3010,0,36,8,15,18,25,95,31,7,7,0,0
3011,1,91,30,28,7,52,240,61,19,13,1,1
3012,1,81,19,39,12,43,220,70,12,10,1,1
3013,0,47,7,12,7,32,113,39,11,4,0,0
3014,0,45,14,10,8,23,114,27,11,4,0,0
3015,1,84,43,23,27,61,234,39,16,4,1,1
3016,1,67,22,42,15,38,198,66,16,7,1,1
3017,0,41,15,15,16,29,112,27,8,8,0,0
3018,0,80,27,41,16,44,228,55,12,0,1,0
3019,1,78,24,28,21,35,208,62,12,3,0,1
3020,1,49,19,20,9,28,137,37,5,5,0,0
3021,0,70,21,32,18,45,193,56,13,4,1,1
3022,1,63,34,32,23,43,192,56,10,7,1,1
3023,0,41,9,15,3,26,106,29,7,8,0,0
3024,0,38,5,14,15,21,95,28,5,5,0,0
3025,1,44,14,9,10,26,111,31,10,5,1,1
3026,1,41,20,9,9,29,111,37,6,6,1,0
3027,0,38,15,14,13,19,105,36,7,6,0,0
3028,0,32,15,15,8,24,94,34,7,1,0,0
3029,1,59,26,36,14,45,180,66,8,4,1,1
3030,0,67,11,31,18,32,176,59,12,7,1,1
3031,1,63,25,26,27,22,177,50,6,4,0,0
3032,0,65,19,46,16,40,195,46,19,5,1,1
3033,1,45,12,23,8,27,125,38,6,6,0,0
3034,0,51,13,36,8,27,151,61,13,2,1,1
3035,1,34,15,25,6,25,108,38,3,6,0,0
3036,0,40,12,14,8,23,106,33,4,3,0,0
3037,1,83,24,22,6,33,212,57,20,10,1,1
3038,1,44,13,19,12,20,120,43,4,3,0,0
3039,0,45,16,8,9,28,114,31,10,4,1,1
3040,1,102,50,32,10,60,286,64,8,4,1,1
3041,0,48,17,17,9,31,130,29,5,3,0,0
3042,1,69,16,11,14,42,165,59,10,12,1,1
3043,0,36,10,13,12,26,95,38,8,3,0,0
3044,1,83,10,46,26,44,222,62,16,7,1,1
3045,0,65,23,26,9,49,179,43,17,4,0,0
3046,0,38,8,26,10,20,110,31,6,3,0,0
3047,1,67,22,46,17,19,202,56,5,7,1,1
3048,1,46,15,16,10,25,123,32,8,2,1,0
3049,0,43,12,14,8,33,112,34,8,1,0,0
3050,0,72,18,27,10,35,189,48,14,9,0,1
3051,1,67,24,48,10,39,206,66,7,6,1,0
3052,1,66,10,23,21,32,165,70,15,5,0,1
3053,0,56,15,24,13,33,151,57,8,8,1,0
3054,0,71,18,36,11,64,196,53,8,7,1,1
3055,1,45,12,23,7,34,125,36,8,6,0,0
3056,1,100,32,36,16,69,268,73,18,10,1,1
3057,0,44,9,20,5,25,117,32,6,6,0,0
3058,0,33,8,25,12,17,99,34,5,5,0,0
3059,1,73,22,26,6,37,194,66,7,5,1,1
3060,0,56,12,43,12,31,167,45,13,2,0,0
3061,1,87,18,28,7,39,220,48,14,5,1,1
3062,0,59,20,20,14,46,158,59,18,5,0,0
3063,1,68,22,39,17,47,197,62,20,11,1,1
3064,0,45,12,8,12,23,110,37,6,6,0,1
3065,1,48,10,16,10,31,122,33,13,4,1,0
3066,0,80,28,48,20,38,236,50,10,12,1,1
3067,1,70,28,18,17,19,186,45,12,4,0,0
3068,1,66,31,35,15,47,198,66,10,8,0,0
3069,0,73,10,36,15,51,192,70,7,8,1,0
3070,1,45,17,16,9,34,123,28,3,8,1,1
3071,0,40,9,23,18,23,112,26,5,2,0,0
3072,0,43,7,18,11,25,111,29,4,4,0,0
3073,1,64,24,48,19,45,200,58,16,8,1,1
3074,0,89,26,11,21,40,215,69,18,9,1,1
3075,1,45,15,9,12,32,114,37,8,1,0,0
3076,0,33,6,18,9,13,90,39,4,6,0,0
3077,1,75,22,30,20,39,202,83,10,4,1,1
3078,1,88,17,28,13,56,221,53,18,3,1,1
3079,0,41,8,20,5,22,110,28,8,5,0,0
3080,1,43,16,14,5,28,116,35,6,8,1,1
3081,0,38,10,26,10,24,112,28,6,3,0,0
3082,0,42,12,24,23,22,120,57,7,3,0,0
3083,1,57,13,52,14,43,179,74,16,4,1,1
3084,0,37,8,16,15,19,98,34,10,3,0,0
3085,1,46,17,20,5,34,129,34,9,10,1,0
3086,1,44,13,19,13,25,120,47,6,2,1,0
3087,0,39,9,25,8,18,112,39,9,14,0,1
3088,1,74,29,26,10,50,203,47,8,0,0,0
3089,0,89,16,34,17,50,228,56,14,11,1,1
3090,0,65,22,57,16,33,209,50,9,10,0,1
3091,1,64,27,33,19,34,188,49,8,7,1,0
3092,1,98,54,12,14,58,262,48,14,7,1,1
3093,0,51,12,11,15,24,125,26,6,6,0,0
3094,0,80,13,37,22,36,210,52,10,8,1,1
3095,1,74,28,41,13,33,217,50,15,6,0,0
3096,0,43,8,25,9,23,119,32,9,5,0,0
3097,1,85,21,39,15,48,230,70,24,3,1,1
3098,1,60,21,34,20,43,175,59,13,2,1,0
3099,0,57,12,22,20,36,148,42,18,5,0,1
3100,0,75,23,28,15,42,201,42,18,0,1,1
3101,1,56,19,13,11,33,144,36,14,4,0,0
3102,0,78,27,34,8,44,217,66,19,10,1,1
3103,1,46,17,15,8,25,124,36,8,6,0,0
3104,1,79,18,33,11,36,209,58,15,13,1,1
3105,0,39,16,10,11,26,104,27,11,4,0,0
3106,0,37,10,20,7,23,104,39,6,3,0,0
3107,1,64,32,20,28,38,180,72,8,16,1,1
3108,1,90,40,27,5,50,247,62,8,7,1,1
3109,0,84,28,23,7,49,219,57,13,6,0,0
3110,1,78,16,48,12,38,220,48,16,3,1,0
3111,0,72,17,36,20,37,197,46,16,6,0,0
3112,1,41,8,15,8,29,105,38,8,7,1,1
3113,0,37,8,20,6,15,102,34,9,2,0,0
3114,1,43,18,16,9,32,120,37,10,1,0,0
3115,0,79,21,19,12,52,198,81,14,10,1,1
3116,0,58,14,19,14,28,149,54,8,4,0,0
3117,1,69,22,27,27,33,187,55,21,5,1,1
3118,1,74,23,46,8,56,217,65,26,7,1,1
3119,0,35,19,24,6,25,113,33,5,3,0,0
3120,1,49,13,23,10,31,134,41,5,7,0,0
3121,0,45,15,23,11,37,128,33,12,8,1,1
3122,0,43,15,23,18,25,124,33,5,1,0,0
3123,1,69,24,19,13,35,181,42,10,13,1,1
3124,0,51,11,30,13,26,143,57,13,10,1,1
3125,1,42,16,7,10,27,107,40,10,7,0,0
3126,0,42,15,14,9,26,113,30,13,6,0,0
3127,1,60,22,39,12,32,181,56,21,9,1,1
3128,0,72,26,24,15,37,194,56,11,12,0,0
3129,1,78,29,53,14,59,238,58,12,5,1,1
3130,1,73,36,29,15,46,211,54,18,4,1,1
3131,0,74,13,18,18,36,179,52,8,6,0,0
3132,0,63,16,29,28,45,171,69,10,2,1,1
3133,1,38,12,22,2,26,110,35,6,6,0,0
3134,1,82,19,15,15,68,198,65,14,4,1,1
3135,0,43,15,9,13,29,110,31,7,3,0,0
3136,0,64,20,44,17,41,192,45,26,8,1,0
3137,1,77,19,10,15,36,183,55,11,20,0,1
3138,0,39,12,13,13,30,103,21,8,4,0,0
3139,1,65,20,23,11,42,173,50,14,3,1,1
3140,1,74,18,35,17,36,201,54,7,8,1,0
3141,0,64,21,32,8,25,181,52,11,8,0,0
